,HAEMATOCRIT,HAEMOGLOBINS,ERYTHROCYTE,LEUCOCYTE,THROMBOCYTE,MCH,MCHC,MCV,AGE,SEX,SOURCE,AGE_GROUP,HAEMATOCRIT_CATEGORY,HAEMOGLOBINS_CATEGORY,ERYTHROCYTE_CATEGORY,LEUCOCYTE_CATEGORY,THROMBOCYTE_CATEGORY,MCH_CATEGORY,MCHC_CATEGORY,MCV_CATEGORY
HAEMATOCRIT,1.0,0.9718707275483073,0.8614465865767966,-0.21370787176742714,-0.006061783707480523,0.09131051301891091,0.12587967542307532,0.05689562687998021,-0.25783888728208726,0.2755301279782649,-0.2723492243392223,-0.23943349902911945,0.576164802461062,0.5431927656967297,0.4674224090052938,-0.09239584695482561,-0.00806931653158625,0.04461264789397777,0.04634475133333635,0.06875210977962032
HAEMOGLOBINS,0.9718707275483073,1.0,0.8152210741293044,-0.20202610733870807,-0.04498186180942494,0.2110153903089909,0.3318558737708188,0.10744955439341232,-0.24116973772820458,0.31183976265213775,-0.2549535673100565,-0.22385596961610316,0.5534090434835469,0.5604374464466406,0.4161161863613566,-0.09273636562582906,-0.0369511040728456,0.12583555470446042,0.1848456153977763,0.11020959905088226
ERYTHROCYTE,0.8614465865767966,0.8152210741293044,1.0,-0.18514813317896592,0.022770989068035104,-0.38090782688732,-0.03485751894702145,-0.4386644705234043,-0.42152510734679033,0.24504651405267447,-0.23804594184843608,-0.40058713837307447,0.4810767407828161,0.43994130173087304,0.5922333809724529,-0.06596158468628194,0.004208530030269414,-0.27288768201690755,-0.07191310571801746,-0.26674990029072115
LEUCOCYTE,-0.21370787176742714,-0.20202610733870807,-0.18514813317896592,1.0,0.28200392515127676,-0.007651895788056162,0.010402181788962503,-0.011583318436195414,0.19036143948916034,0.039990767432736586,0.13968933611750411,0.1798301193702646,-0.041945891993643666,-0.042970237470559836,-0.05524746177850326,0.6278873375016786,0.18842844011243412,-0.011994870964564065,-0.017521801606947263,-0.025838156941734476
THROMBOCYTE,-0.006061783707480523,-0.04498186180942494,0.022770989068035104,0.28200392515127676,1.0,-0.13346562008737545,-0.18858806920983914,-0.07634742059974059,0.024690334018099794,-0.06862243244105473,-0.2295495665530738,0.018964766162251553,0.03886188014906266,0.02294605130679925,0.06593974660758067,0.2330027947718041,0.6690140812909016,-0.0872979241055693,-0.10578009306236862,-0.08788702255952659
MCH,0.09131051301891091,0.2110153903089909,-0.38090782688732,-0.007651895788056162,-0.13346562008737545,1.0,0.5929968245750287,0.931807275505167,0.3607156399697411,0.08379293184542454,-0.0021666835869798315,0.35396599384601385,0.08167875749105317,0.1613045446946554,-0.29325135378295647,-0.0354240994862789,-0.07450997097974792,0.6595131757382445,0.411197203551918,0.6267512398002024
MCHC,0.12587967542307532,0.3318558737708188,-0.03485751894702145,0.010402181788962503,-0.18858806920983914,0.5929968245750287,1.0,0.2635705827381543,0.04813727417090441,0.21976916020421597,0.026025783378947537,0.046290256079674685,0.06492365010777043,0.21574901599069346,-0.1135356068651618,-0.01997181218368516,-0.14226994821342837,0.394796690125472,0.6774010996885299,0.2178555592782043
MCV,0.05689562687998021,0.10744955439341232,-0.4386644705234043,-0.011583318436195414,-0.07634742059974059,0.931807275505167,0.2635705827381543,1.0,0.40583923647412457,0.00016167415216640512,-0.0136000312310037,0.39835988442977543,0.07259649554600846,0.10136343312144047,-0.3021767408388814,-0.03202453584522028,-0.02749075952887591,0.6176249273577493,0.19539458864916465,0.6624873957375675
AGE,-0.25783888728208726,-0.24116973772820458,-0.42152510734679033,0.19036143948916034,0.024690334018099794,0.3607156399697411,0.04813727417090441,0.40583923647412457,1.0,0.016244764373507043,0.11349394335159414,0.9671409416122025,-0.017206339324238092,-0.0037945553460194087,-0.022301677715060357,0.01957880669823769,-0.0038843465325102207,0.02735211647708809,0.011585420841579964,0.020548814054378396
SEX,0.2755301279782649,0.31183976265213775,0.24504651405267447,0.039990767432736586,-0.06862243244105473,0.08379293184542454,0.21976916020421597,0.00016167415216640512,0.016244764373507043,1.0,0.05722361886572032,0.02483692037258795,-0.001011129268015498,0.0015731816202088865,-0.0007961521859546974,-0.0012165011172225453,0.0016962818509766386,-0.00919448546460587,0.004469775673371301,-0.001792549774953895
SOURCE,-0.2723492243392223,-0.2549535673100565,-0.23804594184843608,0.13968933611750411,-0.2295495665530738,-0.0021666835869798315,0.026025783378947537,-0.0136000312310037,0.11349394335159414,0.05722361886572032,1.0,0.11193261694935691,-0.13979742085833363,-0.12854766633988615,-0.12731014612072594,0.005893597029706432,-0.1425853971267845,-0.016483740022985832,0.0019706284465747757,-0.033233984636837514
AGE_GROUP,-0.23943349902911945,-0.22385596961610316,-0.40058713837307447,0.1798301193702646,0.018964766162251553,0.35396599384601385,0.046290256079674685,0.39835988442977543,0.9671409416122025,0.02483692037258795,0.11193261694935691,1.0,-0.0009630891423253772,0.00826352047998628,-0.0014038371188417873,0.002080681030588028,-0.0021060580055352867,0.01094828552202332,0.0028084396199838197,0.0019003634036720285
HAEMATOCRIT_CATEGORY,0.576164802461062,0.5534090434835469,0.4810767407828161,-0.041945891993643666,0.03886188014906266,0.08167875749105317,0.06492365010777043,0.07259649554600846,-0.017206339324238092,-0.001011129268015498,-0.13979742085833363,-0.0009630891423253772,1.0,0.7935511711370725,0.56160732638383,-0.021281442671467334,0.02405803185212819,0.028014636564534547,0.05307281286415557,0.035987178403042074
HAEMOGLOBINS_CATEGORY,0.5431927656967297,0.5604374464466406,0.43994130173087304,-0.042970237470559836,0.02294605130679925,0.1613045446946554,0.21574901599069346,0.10136343312144047,-0.0037945553460194087,0.0015731816202088865,-0.12854766633988615,0.00826352047998628,0.7935511711370725,1.0,0.4896242675821651,-0.012494103217130185,0.024870882077848558,0.07372005885921444,0.17704770978088724,0.06805817511870431
ERYTHROCYTE_CATEGORY,0.4674224090052938,0.4161161863613566,0.5922333809724529,-0.05524746177850326,0.06593974660758067,-0.29325135378295647,-0.1135356068651618,-0.3021767408388814,-0.022301677715060357,-0.0007961521859546974,-0.12731014612072594,-0.0014038371188417873,0.56160732638383,0.4896242675821651,1.0,-0.018005983591035425,0.0327006306131085,-0.2920958675704135,-0.11105609491905993,-0.2963037195629593
LEUCOCYTE_CATEGORY,-0.09239584695482561,-0.09273636562582906,-0.06596158468628194,0.6278873375016786,0.2330027947718041,-0.0354240994862789,-0.01997181218368516,-0.03202453584522028,0.01957880669823769,-0.0012165011172225453,0.005893597029706432,0.002080681030588028,-0.021281442671467334,-0.012494103217130185,-0.018005983591035425,1.0,0.15638438451756237,-0.012389652608306698,-0.02180270240158366,-0.008987378044110242
THROMBOCYTE_CATEGORY,-0.00806931653158625,-0.0369511040728456,0.004208530030269414,0.18842844011243412,0.6690140812909016,-0.07450997097974792,-0.14226994821342837,-0.02749075952887591,-0.0038843465325102207,0.0016962818509766386,-0.1425853971267845,-0.0021060580055352867,0.02405803185212819,0.024870882077848558,0.0327006306131085,0.15638438451756237,1.0,-0.03074456259752402,-0.08644656066919988,-0.0266994148250193
MCH_CATEGORY,0.04461264789397777,0.12583555470446042,-0.27288768201690755,-0.011994870964564065,-0.0872979241055693,0.6595131757382445,0.394796690125472,0.6176249273577493,0.02735211647708809,-0.00919448546460587,-0.016483740022985832,0.01094828552202332,0.028014636564534547,0.07372005885921444,-0.2920958675704135,-0.012389652608306698,-0.03074456259752402,1.0,0.3513649958730939,0.73672569326368
MCHC_CATEGORY,0.04634475133333635,0.1848456153977763,-0.07191310571801746,-0.017521801606947263,-0.10578009306236862,0.411197203551918,0.6774010996885299,0.19539458864916465,0.011585420841579964,0.004469775673371301,0.0019706284465747757,0.0028084396199838197,0.05307281286415557,0.17704770978088724,-0.11105609491905993,-0.02180270240158366,-0.08644656066919988,0.3513649958730939,1.0,0.20323117385485118
MCV_CATEGORY,0.06875210977962032,0.11020959905088226,-0.26674990029072115,-0.025838156941734476,-0.08788702255952659,0.6267512398002024,0.2178555592782043,0.6624873957375675,0.020548814054378396,-0.001792549774953895,-0.033233984636837514,0.0019003634036720285,0.035987178403042074,0.06805817511870431,-0.2963037195629593,-0.008987378044110242,-0.0266994148250193,0.73672569326368,0.20323117385485118,1.0
